,accept,event_type,id,label,reject,text,total
10,2,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa038089e64f31dba999685129c106fdffbc60bfcc1d2641c83f475e0484ab4744c48a87970eb1d77ff1cc2ca6357f40c4d170fe83c0b8698cc8bc1f8864b96934744da1da937490f8d63923bfffd801b8ed61a2ef845a9d590d4_31,difficult no,5,تقول مسعد إن «رد الفعل الايجابي من الشعوب العربية، بما في ذلك لبنان، لما كان يجري في مصر، والتفاعل مع ثورة المصريين، والوقوف بحق إلى جانب الثورة، أظهر كم كان نظام مبارك مخطئا بحق محيطه العربي»، بينما ظهر أن أوروبا والولايات المتحدة، كانوا يدعمونه حتى اللحظات الأخيرة.,7
11,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae1150539af36aa7909be0752e2b56f32a3cc85db49c92c86bd13bb9389c3f5d808859c149e9658e850c596433040f056d23d28f14e0faab2fe0980f2b988b5bc0d42ab142957416019b0ea60ce9e3357644df094826c6995b9_6,easy no,6,ويجب العودة إلى مرحلة الانتداب على لبنان وسوريا في النصف الأول من القرن الماضي للعثور على تداول علني مماثل لسياسة حماية المسيحيين كملف محوري في التعامل مع المنطقة العربية.,6
12,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d87079cb2e4560976f74a0f553cd76da4e76efb30656b3c98519038e3702a7227e8a0ddf0fdffbef4dac7284c71622565d0624e7a051a0ed09005edf1f6265ef6518510bde23c63b1837ede34e345da467bf5245e498d26acaa99778784f63bbd4_23,easy no,5,وأشار الى أن «البعض يدّعي بأن الحكومة الجديدة  ـ  إذا كلف من ترشحه المعارضة  ـ  ستمسّ بمواقع وصلاحيات ومكاسب وامتيازات الطائفة السنية الكريمة، وأنا أقول هذا افتراء».,5
13,0,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58ed42f4cc714e0beb8c929f63ad708b5a9f48f2b353f4108587184d358fc96f59bd25376643811afc04cd1690c1e28f13410f0eb908e9b30eb241c05e8e09a1bc4b1314f54d25afa547fca222e5db57563deefc06c791006b47724e66e561421cf_79,easy no,4,"عهد انعدام اليقين      من جانبه رأى المحلل السياسي في صحيفة ""إسرائيل اليوم"" دان مرغليت أنه ""سيكون هناك انعطاف في اتفاق التسوية ، وفي أفضل الأحوال فإن التغييرات ستكون هامشية لكنها لن تتوقف عند هذا الحد ، وما سيبدأ على أن الثورة لا يقودها الأخوان المسلمون قد يتدهور خلال بضع سنوات إلى تبني موقف متطرف تجاه إسرائيل ، ولن يكون هذا بإلغاء اتفاق التسوية ، وإنما المس بمستوى العلاقات الدبلوماسية ومنع الإرهاب من قطاع غزة حسب تعبيره .",4
14,2,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58e45f0ddd797eae4ddcdeac0832efbf3b5383e2ec6a5f39dd312846e7a84d3d7d6f1edcc198484d2b747399bb7a51010a7a0b0a1ca6d199d5a1d29572ff5c8fdc5d3a71254487afc4be0b16d798438a84ce95c5714bf9ef8777459e97b55bff0dc_23,difficult no,2,المغرب يسعى لحل مشكلة الجامعيين العاطلين الرباط - رويترز اعلنت الحكومة المغربية انها تتجه الى تخصيص أكثر من10% من ميزانيتها لتشغيل حملة الشهادات الجامعية العاطلين عن العمل في خطوة يراها المتتبعون توجسا من انتقال عدوى الاحتجاجات الى البلاد ، فيما تنفي الحكومة ذلك قائلة ان هذا الاجراء يدخل في اطار سياستها لمحاربة البطالة.,4
15,6,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa038495cbf5b1be263a9181f7eef5a7eb0464baca758abecc4becf0729327592e850a5ff1cc14611463251dcbb8a5836b1e969bd658c37a72a1611c22b131ca148f5017b034230284a1ad8dc592f2e91e5ece5a111e34bd74b9a_26,ambiguous,1,وتذكر مسعد كيف أن من بين الشعارات والهتافات التي رفعها الثوار «يسقط نظام كامب ديفيد... ومبارك يا عميل الاميركان» والموقف من بيع الغاز الرخيص إلى اسرائيل واتفاقية «الكويز» للتعاون الاقتصادي مع اسرائيل، وموقف مبارك من حرب غزة ومحاصرتها.,7
16,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa03836c5f8ea76b6f46b4955f6006bf7e48eb134602c8f089e169f5a290d9488e10c6d1c510d7fbe6cf34beec121f6fbd55f501f28d617120aef823bc5761623c0455e8ea5b5a8b896aff615cb478d8c432b307eaec8b27a71e1_18,easy no,5,وخرجت مصر من مصر، فإذا رئيسها العجوز يهرب من هموم شعبه ومن مسؤولياته الى منتجعه في شرم الشيخ، التي باتت أشبه بشرفة إسرائيلية، وإذا الدولة منهبة للصوص الكبار المتسترين بصفة «رجال الأعمال» والذين عرفوا الطريق الى الثروة عبر الذرية المباركة، وإذا الفساد يمتد من المطار الى المطار مغرقاً في مستنقعه رجال الأمن وأهل الإدارة.,5
17,5,PROTEST,e6874d82b9c4d0107c5b7b979ac6c6827be89dc0d1ab0a92ab333edd4ffc89008892bd72663fd8e312e81f91ed4c88648abc34054b8afee5a6b3f83017be8f0317baff796a26a52fdd11cfeb572e208c2ae4baffbe67e738bc144e65021f37fd3ea378ff367036f161e1d16ee0f64252f74835ca2673f020f5adc2b863a3fb7c12ba77636825344f_50,difficult no,2,ومن جهة أخرى فإن تراجع الأيدلوجية الثورية الاشتراكية والقومية أفسح المجال لحركات ثورية بمحتوى ديني، وهذا حال حركة طالبان الأفغانية وتنظيم القاعدة بقيادة أسامة أبن لادن والثورة الإيرانية بقيادة الخميني نهاية السبعينيات، وحزب الله في لبنان وحماس وحركة الجهاد الإسلامي في فلسطين.بالرغم من أن البعض زعم بأن انهيار المعسكر الاشتراكي سيؤدي لنهاية الحركات الثورية وكل النظم المغايرة للرأسمالية، وهو ما وصفه فرانسيس فوكوياما صاحب هذا الطرح ب (نهاية التاريخ)، إلا أن منطق الأمور والطبيعة الإنسانية يؤكدا بأنه حيث يكون ظلم لا بد أن تكون ثورات وحروب بغض النظر عن المحتوى الإيديولوجي لهذه الثورات، وإن غابت الأسباب الأيديولوجية للثورة فستكون أسبابها اقتصادية أو قومية أو دينية.إلى ما قبل الثورة التونسي والمصرية كانت جماعات الإسلام السياسي على رأس القوى المطالبة بالتغيير وهي جماعات وإن كانت تلتقي مع الثورة من حيث الرغبة في التغيير إلا أن غالبيتها تقوم على أيديولوجية لا تعترف بالآخر ولا تؤمن بالوطنية والمشروع الوطني ولا بالديمقراطية، كما تستعمل أدوات عنيفة ودموية، أيضا تفتقر لرؤية حضارية وواقعية لما بعد هزيمة الأنظمة القائمة.ومع ذلك فقد نجحت بعض الحركات الإسلامية من إحداث ثورة متصالحة مع متطلبات الحضارة والحداثة كما جرى مع ثورة الخميني ضد سلطة الشاه في إيران،في المقابل فبعض هذه الحركات ما زالت تثير كثيرا من النقش حول جدواها للأمة وحتى للرسالة السماوية التي تدعي تمثيلها،وهذا هو حال!,7
18,0,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58e9a04133ff0ba029c1024cce1ddc1d7bc587f043c2c1f4e505bf89c744b4b000d1bf1e93da7eee139a8ba6f8f2494c71c143d98da1a7e302a3ee47876c65dda0310b440a8c657b12249abf67c11b4d1ec7e861f1792e7e9d274c6e2cd1e778688_12,easy no,4,ووقعت كوريا الجنوبة مع العرب مجددا في الدورة الثامنة عام 1984 في سنغافورة وخرجت منها من الدور الاول بعد تعادلها مع السعودية 1 - 1 والكويت صفر - صفر وخسارتها امام سوريا وقطر على التوالي بنتيجة واحدة صفر - 1.,4
19,2,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa038fac0690a6231ebda3a5e16b51dc164c26d3f50b57d5364e4e13d85f06fba8d94539188865a4c60f9e809978d3f79b9c8b6f27fc9e16d8b4fd0351f0918a90b5f14f9c7b773b6633af0fe7bb90d5141cdd75fa83520ef6a64_17,difficult no,2,ثم تحدث كبارة فقال: «إن التطاول على الطائفة السنية وعلى أهل الوطن غير مسموح ونقول من طرابلس عاصمة اللبنانيين السنة، وعاصمة الانفتاح والعيش المشترك والوحدة الوطنية، غدا هو يوم الغضب العام في كل لبنان وهو يوم الاضراب العام استنكارا لما يقوم به الآخرون من تدخل في شؤون لبنان واللبنانيين السنة».,4
20,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae13d38eaaf4eda50f7be056309ab8ae5fe21eac1077a75ded567c83106426f4babff6dc5d5c664459886c7d5aac69677723965f931035e681fc70024209b238824bfc54bab26028f581eaee8b58086444f2e5b0e92459135fb_2,easy no,5,وكانت الطريق الدولية عند نقطة العبودية الحدودية («السفير») قد شهدت في فترة عيد رأس السنة زحمة سير خانقة، حيث تجمعت مئات السيارات والشاحنات وحافلات الركاب عند الجانب اللبناني ابتداء من مدخل بلدة الشيخ عياش، وصولاً الى نقطة العبودية بطول ثلاثة كيلومترات، الأمر الذي أزعج المسافرين الذين قرروا تمضية رأس السنة في سوريا.,5
21,5,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa038fac0690a6231ebda3a5e16b51dc164c26d3f50b57d5364e4e13d85f06fba8d94539188865a4c60f9e809978d3f79b9c8b6f27fc9e16d8b4fd0351f0918a90b5f14f9c7b773b6633af0fe7bb90d5141cdd75fa83520ef6a64_34,yes,0,قطع طريق بيروت  ـ  الجنوب    وفي إقليم الخروب (أحمد منصور) بدأت التجمعات في بلدة كترمايا عند الخامسة والنصف، حيث تجمهر الناس في الشارع الرئيسي مطلقين الشعارات من خلال مكبرات الصوت والأغاني الحماسية وخطب للرئيس الشهيد رفيق الحريري، فيما رفعت رايات «المستقبل» وسط الهتافات.,5
22,4,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58e42427899171dd7b8d11b424ba355de41f679fe9f610fa9aec824ca3f99a5b846854b2c6d5680e301f3d5c4f8e8fa2051bbad908c0fbac522680cdc8d1484d4718b5014cd34e682c39b96685687c7a4e91eb998c6e7d982570f93258561098a05_23,yes,0,"تظاهر الاف الاسرائيليين مساء امس في تل ابيب ""دفاعا عن الديمقراطية"" واحتجاجا على حملة اليمين المتطرف ضد جمعيات يسارية.",4
23,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae1e839001c7cfcd89f551367b19db88f3afae7c89651af66f5ef832a2c6ab536e5f2539497b201c348d98ef7468fd33ab3279c06a20cb5ef7ce8ceb7b2d329bfae10d762a9ce8a6107d310a37b27f6bd496a255d3052d7a2e2_13,easy no,4,فوزراء المعارضة هم من انقضوا على اتفاق الدوحة فقدموا استقالاتهم بعدما سبق وتعهدوا في الدوحة بألا يفعلوا».,4
24,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d87079cb2e4560976fb9bb7ec82788abea29c4384400063de21a337384e8796df51979a92a4cf61e88743a0a69554a8d757c77714ce755240aba237a09603d31fc3d8cf72ac49e6e3fc2ba06354176625f812647bd3cd47230085c70cfab831deb_6,easy no,5,ولفت الشويخي إلى أن »تصريح الخارجية مبني على التهمة التي وجهتها السلطات السورية للعمّال المصريين، أي أن خلفيات العثور على العمّال الثلاثة، إن بسبب دخول البلاد خلسةً، أو الاختطاف، فهو أمر منوط بجهات الأمن السورية، وليس شأننا«.,5
25,2,PROTEST,e6874d82b9c4d0107c5b7b979ac6c6827be89dc0d1ab0a92ab333edd4ffc89008892bd72663fd8e312e81f91ed4c88648abc34054b8afee5a6b3f83017be8f0317baff796a26a52fdd11cfeb572e208c2ae4baffbe67e738bc144e65021f37fd3ea378ff367036f161e1d16ee0f64252f74835ca2673f020f5adc2b863a3fb7c12ba77636825344f_30,difficult no,2,الخ- أو خروج جماهير هائجة ومقهورة للشارع لتخرب وتُدمِر ثم خطاب  حماسي يسمى البيان الأول، حتى يقال لقد نجحت الثورة.ولكن ماذا بعد ؟,4
26,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa038089e64f31dba999685129c106fdffbc60bfcc1d2641c83f475e0484ab4744c48a87970eb1d77ff1cc2ca6357f40c4d170fe83c0b8698cc8bc1f8864b96934744da1da937490f8d63923bfffd801b8ed61a2ef845a9d590d4_28,easy no,5,تقول أستاذة العلوم السياسية في جامعة القاهرة «كنا ندرك أن النظام الذي سيأتي من رحم الثورة، سيكون أكثر تفهما لتطلعات الناس، ما دام سيكون منتخبا ديموقراطيا».,5
27,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa038fada4f3fee08bb2dd28e48cba35892ea419e958709ea175ce0f30b2e4d8dfa7804892323b9198f885fe3856277234f9b9279024793ec04a004c7dfa87bfc2b96926f80fe36c1766753ba770958cee68d5626fd466b7a9383_15,easy no,5,وتراجعت الامارات العربية المتحدة إلى المرتبة الثانية، بصادرات قيمتها 418 مليون دولار (10%)، في حين تقدمت فرنسا إلى المرتبة الثالثة بصادرات قيمتها 384 مليوناً (8%)، يليها العراق في المرتبة الرابعة، إذ بلغت قيمة الصادرات إليه، 267 مليون دولار (6%).,5
28,1,PROTEST,e6874d82b9c4d0107c5b7b979ac6c6827be89dc0d1ab0a92ab333edd4ffc89008892bd72663fd8e312e81f91ed4c88648abc34054b8afee5a6b3f83017be8f0317baff796a26a52fdd11cfeb572e208c2ae4baffbe67e738bc144e65021f37fd3ea378ff367036f161e1d16ee0f64252f74835ca2673f020f5adc2b863a3fb7c12ba77636825344f_31,difficult no,3,كان البَعدُ  بالنسبة لكثير من الأنظمة والحركات الثورية العربية أنهم قضوا على الأنظمة القديمة  ثم جلسوا على أنقاضها واخذوا يرددون شعارات الثورة،ظنوا أن شعارات الثورة ستُغني  الجماهير عن فقرها وجوعها،اعتقدوا أن كل مشاكل الجماهير قد حُلت بمجرد إسقاط النظام  السابق ووصول قادة (الثورة) إلى سدة الحكم،ولكن ماذا بالن!,4
29,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae148144fd67212d2b8acb8b8fe3c96aa06b5b85d6e41db8f47a51dcc72a1a9c7fe30d33cde986edc2b6c34cefb34355b43e288902e84046bb54e5413f6e8976fa6634ae292e770143ac631599a07e428cf698cff48a1d45ffd_2,easy no,6,كان يكفي ان يستقيل وزراء المعارضة من الحكومة ومعهم «الوزير الملك»، حتى تسقط آخر الاقنعة عن الوجه الحقيقي للمواجهة الراهنة.,6
30,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae1c85420b18b475ef469651e490c9124e129a9c3bf14cb299812d2ab43e3c6ce6169a1d687114fa996a47c114554aa089e9f52177eb77a830e94be7de571571091009b68956e001b00b05ac05ddd941ea10ca074e454ed3365_9,easy no,4,وقال المصدر «هذه مشاورات ومسيرة جارية، وبالتالي لا يمكن الحديث عن أي تفاصيل في هذه المرحلة»، ورفض المصدر حتى الكشف عن المدة التي استغرقها لقاء الحريري والملك عبد الله.,4
31,0,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58eaacb8a80310667a667a93540a55ec59699dbf44e0984cd8a6b96b3b61f60cf4eab324b61440d69b4bb69dd52078839fadb8468ce5c587c45c8e4e8346ac2089e6e37651f6cde75f7242c4760c35ae16d3f6e8c3f4acfd25a29758df6e46a0547_1,easy no,5,"الدكتور محمد محمود العناقرة  يعد الحديث عن شخصية الراحل محمود الكايد ""أبو عزمي"" حديث عن أبرز أعلام الصحافة الذين كان لهم تأثير إيجابي مباشر على المستوى الإعلامي والصحافي في مراحل مهمة في تاريخ الصحافة المحلية ، فهو واحد من أبرز الشخصيات الأردنية الذين ارتبطوا بتاريخ الأردن وبنيانه ويسجل له إلى جانب مجموعة من الصحفيين الأوائل والقدماء سعيهم الدؤوب لتأسيس صحيفة الرأي الأردنية.",5
32,2,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58ed42f4cc714e0beb8c29c3f03a02b893c84161559c29b61879e482ec04f09e2bcd95a6cc61624c38b32df1e5ab1a1a347a2ba7c5777c2c60583a515fe093d012a8512715846805da14b0f5e7b9ae07c050ba3bb372d21210c3dec42cf2d20ab03_6,difficult no,3,نحن نعرف أن واشنطن ستبدل لغتها وخطابها ونبرتها ، مع تطور الأحداث ، وستبدأ بالاقتراب من الشارع ، كلما اقتربت الشوارع من تحقيق أهداف ثورتها ، تماماً مثلما حصل في تونس ومصر ، لكن الفارق كبير ، بين أن يكون التأييد الأمريكي لحق الشعوب في تقرير مصائرها ، مبدئياً وفي الضراء ، وبين أن تقدم الدولة الأعظم على تأييد هذه الشعوب في السراء أو في ربع الساعة الأخير.,5
33,0,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58ed42f4cc714e0beb8c929f63ad708b5a9eb40bf930fe30bfb1ac26f496a075d44106204d721882d5e5086e45de10da77b1446b75a5c5dc3732cee584a29a34175254232133a327890718f2f8be7adf30bb31c9c76ab2ee8ec33eaa69de884ac81_6,easy no,5,فالامر ملح في كلا البلدين ، لان رياح التغيير التي هبت قد تحملهما بعيدا عن وقفة اليد المرفوعة اعلى الجبين ، في تحية الامتثال للاوامر الاميركية.,5
34,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d87079cb2e4560976f2538ee511f4ad0d1d97b344e2a0e49c265ebeb21dd46df7f4221624150c59e4c3ed4e6690511a3dacca97c4b95ed63ace46fbdf03ad78f82682c22f9db75be9462f4aa0b29388af250911dd9f718329635015b65c40d57a6_18,easy no,5,وذهب الرئيس ساركوزي ابعد من المتوقع في تحليله وقال إن «لبنان ضحية جانبية لانسداد العملية السلمية»، وفشل المفاوضات الإسرائيلية الفلسطينية، و«نحن نرفض استغلال هذا الوقت في خدمة مصالح اجنبية»، في إشارة إلى الدور الإيراني في لبنان «لأن الأزمة تسمح بإشاحة النظر عن ملف التسلح النووي الإيراني».,5
35,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae12d820d9a93bf726d86de480894899ff7cb400b3616b0973b1888f9bb9549da7600a9126c8b9ad34d064cc67506e0ce58d0fc13d54d3f8c906cba1ec45f1322439803df49b1b858b66250f0111667d24786931eaf7fc90c2b_8,easy no,6,وهي تعلم أن واشنطن ستلجأ إليها في نهاية الأمر بعد أن تعجز أميركا عن استدراج سوريا إلى منازلة في لبنان لمفاوضتها لاحقاً من موقع الشريك، في حين أن المواجهة بين الولايات المتحدة وفريق المعارضة في لبنان ستؤدي إلى مشكلات أميركية لن تكون قادرة على تحمّل أعبائها، وهو ما سيدفعها ل ـ «استجداء» دمشق التدخل لإنقاذها من «براثن» المعارضة في لبنان.,6
36,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8041a5e95e863b27e8db7d8e614524bbb2437eee73c83f074178985c1c0ef657bbc1f0b83203e8421c97d793796e32c5797101d6a4839efd8a5e0758f65975ad660a93504df27df321cb7449a36e745bfa1b77595783d84da419f29f48a344e4c_7,easy no,5,في المقابل، ظهر المنتخب الاوزبكي بشكل جيد وجمع بين اللياقة البدنية العالية والفنيات العالية للاعبيه فحصل على فرص عدة نجح في ترجمة اثنتين والخروج باول ثلاث نقاط له في البطولة، علما بأنه يسعى ايضا الى اجتياز حاجز ربع النهائي في مشاركته الخامسة في النهائيات.,5
